product_title,handle,status,product_type,collections,tags,variant_title,option_name,option_value,sku,price,compare_at_price,unit_cost,inventory_qty
Cowboy Pup,cowboy-pup,DRAFT,Needlepoint Canvas,Canvases|Playful Pups|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,0
Farmers Market Pup,farmers-market-pup-1,DRAFT,Needlepoint Canvas,Canvases|Playful Pups|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
Farmers Market Pup,farmers-market-pup-1,DRAFT,Needlepoint Canvas,Canvases|Playful Pups|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,0
Corgi,corgi,DRAFT,Needlepoint Canvas,Canvases|Playful Pups|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
Corgi,corgi,DRAFT,Needlepoint Canvas,Canvases|Playful Pups|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,0
Seashell,seashell-18-mesh,ACTIVE,Needlepoint Canvas,Nautical|Canvases|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-4
Seashell,seashell-18-mesh,ACTIVE,Needlepoint Canvas,Nautical|Canvases|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-4
Shamrock,shamrock-18-mesh,ACTIVE,Needlepoint Canvas,Canvases|St. Paddy's Day|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-7
Shamrock,shamrock-18-mesh,ACTIVE,Needlepoint Canvas,Canvases|St. Paddy's Day|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-16
Lucky,lucky-18-mesh,ACTIVE,Needlepoint Canvas,Canvases|St. Paddy's Day|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
Lucky,lucky-18-mesh,ACTIVE,Needlepoint Canvas,Canvases|St. Paddy's Day|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-2
Heart Matchbox,heart-matchbox-18-mesh,ACTIVE,Needlepoint Canvas,Galentine's Day|Canvases|18 Count Canvases,,No,Add kit +$10 (Threads/Needles),No,,40.00,,,-3
Heart Matchbox,heart-matchbox-18-mesh,ACTIVE,Needlepoint Canvas,Galentine's Day|Canvases|18 Count Canvases,,Yes,Add kit +$10 (Threads/Needles),Yes,,50.00,,,-5
Pats Matchbox,pats-matchbox-18-mesh,ACTIVE,Needlepoint Canvas,New England Sports|Canvases|18 Count Canvases,,No,Add kit +$10 (Threads/Needles),No,,40.00,,,-1
Pats Matchbox,pats-matchbox-18-mesh,ACTIVE,Needlepoint Canvas,New England Sports|Canvases|18 Count Canvases,,Yes,Add kit +$10 (Threads/Needles),Yes,,50.00,,,-3
Anchor,anchor-18-mesh,ACTIVE,Needlepoint Canvas,Nautical|Canvases|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-5
Anchor,anchor-18-mesh,ACTIVE,Needlepoint Canvas,Nautical|Canvases|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-19
Boston Marathon Bib,boston-marathon-bib-18-mesh,ACTIVE,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,Boston,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-4
Boston Marathon Bib,boston-marathon-bib-18-mesh,ACTIVE,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,Boston,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-11
Patriot Pl Street Sign,patriot-pl-street-sign-18-mesh,ACTIVE,Needlepoint Canvas,Boston|New England Sports|Canvases|18 Count Canvases,Boston,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-1
Patriot Pl Street Sign,patriot-pl-street-sign-18-mesh,ACTIVE,Needlepoint Canvas,Boston|New England Sports|Canvases|18 Count Canvases,Boston,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-4
Pats #10 Jersey,pats-10-jersey-18-mesh,ACTIVE,Needlepoint Canvas,New England Sports|Canvases|18 Count Canvases,,No,Add kit +$10 (Threads/Needles),No,,40.00,,,-1
Pats #10 Jersey,pats-10-jersey-18-mesh,ACTIVE,Needlepoint Canvas,New England Sports|Canvases|18 Count Canvases,,Yes,Add kit +$10 (Threads/Needles),Yes,,50.00,,,-2
Lighthouse,lighthouse-18-mesh,ACTIVE,Needlepoint Canvas,Nautical|Canvases|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,50.00,,,-3
Lighthouse,lighthouse-18-mesh,ACTIVE,Needlepoint Canvas,Nautical|Canvases|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,65.00,,,-10
New England vs Everyone,new-england-vs-everyone-18-mesh,ACTIVE,Needlepoint Canvas,New England Sports|Canvases|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-5
